country,statename,statecode,year,population,number_of_e_transactions,e_transactions_per_1000_population
India,Sikkim,11,2013,607688.0,92.0,0.2
India,Sikkim,11,2013,607688.0,81.0,0.1
India,Sikkim,11,2013,607688.0,4.0,0.0
India,Sikkim,11,2013,607688.0,132.0,0.2
India,Sikkim,11,2013,607688.0,82.0,0.1
India,Sikkim,11,2013,607688.0,53.0,0.1
India,Sikkim,11,2013,607688.0,103.0,0.2
India,Sikkim,11,2013,607688.0,129.0,0.2
India,Sikkim,11,2013,607688.0,69.0,0.1
India,Sikkim,11,2013,607688.0,7.0,0.0
India,Sikkim,11,2013,607688.0,178.0,0.3
India,Sikkim,11,2013,607688.0,132.0,0.2
India,Sikkim,11,2013,607688.0,122.0,0.2
India,Sikkim,11,2013,607688.0,135.0,0.2
India,Sikkim,11,2013,607688.0,125.0,0.2
India,Sikkim,11,2013,607688.0,62.0,0.1
India,Sikkim,11,2013,607688.0,16.0,0.0
India,Sikkim,11,2013,607688.0,114.0,0.2
India,Sikkim,11,2013,607688.0,87.0,0.1
India,Sikkim,11,2013,607688.0,63.0,0.1
India,Sikkim,11,2013,607688.0,109.0,0.2
India,Sikkim,11,2013,607688.0,120.0,0.2
India,Sikkim,11,2013,607688.0,15.0,0.0
India,Sikkim,11,2013,607688.0,14.0,0.0
India,Sikkim,11,2013,607688.0,70.0,0.1
India,Sikkim,11,2013,607688.0,6.0,0.0
India,Sikkim,11,2013,607688.0,49.0,0.1
India,Sikkim,11,2013,607688.0,111.0,0.2
India,Sikkim,11,2013,607688.0,69.0,0.1
India,Sikkim,11,2013,607688.0,94.0,0.2
India,Sikkim,11,2013,607688.0,71.0,0.1
India,Sikkim,11,2013,607688.0,84.0,0.1
India,Sikkim,11,2013,607688.0,11.0,0.0
India,Sikkim,11,2013,607688.0,125.0,0.2
India,Sikkim,11,2013,607688.0,68.0,0.1
India,Sikkim,11,2013,607688.0,90.0,0.1
India,Sikkim,11,2013,607688.0,23.0,0.0
India,Sikkim,11,2013,607688.0,15.0,0.0
India,Sikkim,11,2013,607688.0,24.0,0.0
India,Sikkim,11,2014,607688.0,1.0,0.0
India,Sikkim,11,2014,607688.0,6.0,0.0
India,Sikkim,11,2014,607688.0,6.0,0.0
India,Sikkim,11,2014,607688.0,5.0,0.0
India,Sikkim,11,2014,607688.0,7.0,0.0
India,Sikkim,11,2014,607688.0,24.0,0.0
India,Sikkim,11,2014,607688.0,3.0,0.0
India,Sikkim,11,2014,607688.0,38.0,0.1
India,Sikkim,11,2014,607688.0,60.0,0.1
India,Sikkim,11,2014,607688.0,54.0,0.1
India,Sikkim,11,2014,607688.0,26.0,0.0
India,Sikkim,11,2014,607688.0,27.0,0.0
India,Sikkim,11,2014,607688.0,53.0,0.1
India,Sikkim,11,2014,607688.0,11.0,0.0
India,Sikkim,11,2014,607688.0,75.0,0.1
India,Sikkim,11,2014,607688.0,255.0,0.4
India,Sikkim,11,2014,607688.0,120.0,0.2
India,Sikkim,11,2014,607688.0,103.0,0.2
India,Sikkim,11,2014,607688.0,9.0,0.0
India,Sikkim,11,2014,607688.0,103.0,0.2
India,Sikkim,11,2014,607688.0,188.0,0.3
India,Sikkim,11,2014,607688.0,109.0,0.2
India,Sikkim,11,2014,607688.0,136.0,0.2
India,Sikkim,11,2014,607688.0,164.0,0.3
India,Sikkim,11,2014,607688.0,76.0,0.1
India,Sikkim,11,2014,607688.0,4.0,0.0
India,Sikkim,11,2014,607688.0,111.0,0.2
India,Sikkim,11,2014,607688.0,169.0,0.3
India,Sikkim,11,2014,607688.0,159.0,0.3
India,Sikkim,11,2014,607688.0,116.0,0.2
India,Sikkim,11,2014,607688.0,32.0,0.1
India,Sikkim,11,2014,607688.0,134.0,0.2
India,Sikkim,11,2014,607688.0,9.0,0.0
India,Sikkim,11,2014,607688.0,132.0,0.2
India,Sikkim,11,2014,607688.0,156.0,0.3
India,Sikkim,11,2014,607688.0,91.0,0.1
India,Sikkim,11,2014,607688.0,53.0,0.1
India,Sikkim,11,2014,607688.0,68.0,0.1
India,Sikkim,11,2014,607688.0,32.0,0.1
India,Sikkim,11,2014,607688.0,30.0,0.0
India,Sikkim,11,2014,607688.0,35.0,0.1
India,Sikkim,11,2014,607688.0,12.0,0.0
India,Sikkim,11,2014,607688.0,45.0,0.1
India,Sikkim,11,2014,607688.0,132.0,0.2
India,Sikkim,11,2014,607688.0,56.0,0.1
India,Sikkim,11,2014,607688.0,41.0,0.1
India,Sikkim,11,2014,607688.0,6.0,0.0
India,Sikkim,11,2014,607688.0,29.0,0.0
India,Sikkim,11,2014,607688.0,55.0,0.1
India,Sikkim,11,2014,607688.0,49.0,0.1
India,Sikkim,11,2014,607688.0,102.0,0.2
India,Sikkim,11,2014,607688.0,78.0,0.1
India,Sikkim,11,2014,607688.0,27.0,0.0
India,Sikkim,11,2014,607688.0,8.0,0.0
India,Sikkim,11,2014,607688.0,72.0,0.1
India,Sikkim,11,2014,607688.0,50.0,0.1
India,Sikkim,11,2014,607688.0,86.0,0.1
India,Sikkim,11,2014,607688.0,75.0,0.1
India,Sikkim,11,2014,607688.0,96.0,0.2
India,Sikkim,11,2014,607688.0,108.0,0.2
India,Sikkim,11,2014,607688.0,51.0,0.1
